Placa;Data/Hora;Quantidade;Preço unit.;Valor final
APH4G43;03/11/2025 19:00;72,67;R$ 5,48;R$ 398,23
APH4G43;05/11/2025 16:18;72,2;R$ 5,45;R$ 393,49
APH4G43;10/11/2025 06:41;86,521;R$ 5,45;R$ 471,54
APH4G43;11/11/2025 16:32;71,14;R$ 5,45;R$ 387,71
APH4G43;14/11/2025 18:18;78,98;R$ 5,45;R$ 430,44
APH4G43;21/11/2025 05:18;75,55;R$ 5,45;R$ 411,74
APH4G43;24/11/2025 17:42;84,01;R$ 5,45;R$ 457,85
APH4G43;27/11/2025 09:19;97,528;R$ 5,40;R$ 526,65
APH4G43;28/11/2025 19:00;73,47;R$ 5,40;R$ 396,73
APH4G43;03/12/2025 16:27;87,17;5,4;R$ 470,71
APH4G43;05/12/2025 17:59;100,34;5,4;R$ 541,83
APH4G43;09/12/2025 19:25;81,88;5,4;R$ 442,15
APH4G43;15/12/2025 15:10;70,015;5,4;R$ 378,08
APH4G43;18/12/2025 08:11;78,025;5,4;R$ 421,33
EPP6H50;06/11/2025 05:52;156,97;R$ 5,55;R$ 871,18
EPP6H50;13/11/2025 07:17;204,781;R$ 5,55;R$ 1.136,54
EPP6H50;18/11/2025 17:47;226,005;R$ 5,55;R$ 1.254,32
EPP6H50;25/11/2025 06:06;153,46;R$ 5,55;R$ 851,70
EPP6H50;02/12/2025 00:23;149,57;R$ 5,50;R$ 822,64
EPP6H50;04/12/2025 16:23;242;R$ 5,50;R$ 1.331,00
EPP6H50;11/12/2025 16:25;213,93;R$ 5,50;R$ 1.176,61
EPP6H50;17/12/2025 10:37;194,641;R$ 5,50;R$ 1.070,53
EPP6H50;23/12/2025 08:09;174,66;R$ 5,50;R$ 960,63
EPP6H50;30/12/2025 11:45;195;R$ 5,50;R$ 1.072,50
EWJ9881;12/11/2025 10:22;207,061;5,55;R$ 1.149,19
EWJ9881;26/11/2025 18:12;169,01;5,5;R$ 929,55
EWJ9881;18/12/2025 09:50;193;5,5;R$ 1.061,50
FVE9D27;03/11/2025 06:12;45,021;5,5;R$ 247,62
FVE9D27;06/11/2025 06:52;48,74;5,55;R$ 270,50
FVE9D27;06/11/2025 19:11;63,25;5,55;R$ 351,03
FVE9D27;10/11/2025 13:59;49,005;5,55;R$ 271,97
FVE9D27;14/11/2025 15:22;68,61;5,55;R$ 380,78
FVE9D27;18/11/2025 13:38;58,103;5,55;R$ 322,47
FVE9D27;19/11/2025 16:50;43,42;5,55;R$ 240,98
FVE9D27;21/11/2025 18:52;45,23;5,55;R$ 251,02
FVE9D27;27/11/2025 05:40;74,04;5,5;R$ 407,22
FVE9D27;29/11/2025 17:35;67,177;5,5;R$ 369,48
FVE9D27;04/12/2025 08:58;71,43;5,5;R$ 392,86
FVE9D27;05/12/2025 06:17;51,71;5,5;R$ 284,41
FVE9D27;05/12/2025 16:44;53,69;5,5;R$ 295,29
FVE9D27;10/12/2025 14:03;61,071;5,5;R$ 335,89
FVE9D27;11/12/2025 18:29;70,46;5,5;R$ 387,53
FVE9D27;15/12/2025 19:32;61,72;5,5;R$ 339,46
FVE9D27;18/12/2025 06:49;61,17;5,5;R$ 336,44
FVE9D27;19/12/2025 06:14;45,476;5,5;R$ 250,11
FVE9D27;19/12/2025 14:55;45,1;5,5;R$ 248,05
FVE9D27;24/12/2025 10:52;61,179;5,5;R$ 336,48
FVE9D27;30/12/2025 07:26;62,101;5,5;R$ 341,55
GXH8043;04/11/2025 00:25;85,078;5,48;R$ 466,23
GXH8043;07/11/2025 11:03;154,06;5,45;R$ 839,62
GXH8043;14/11/2025 16:10;93,16;5,45;R$ 507,72
GXH8043;14/11/2025 16:10;33,48;5,45;R$ 182,46
GXH8043;18/11/2025 01:42;83;5,45;R$ 452,35
GXH8043;20/11/2025 01:18;110;5,45;R$ 599,50
GXH8043;22/11/2025 01:28;91;5,45;R$ 495,95
GXH8043;26/11/2025 14:08;162,241;5,4;R$ 876,10
GXH8043;27/11/2025 00:08;108,622;5,4;R$ 586,55
GXH8043;28/11/2025 19:23;50;5,4;R$ 270,00
GXH8043;29/11/2025 00:43;73,808;5,4;R$ 398,56
GXH8043;02/12/2025 18:15;155,02;5,4;R$ 837,10
GXH8043;04/12/2025 00:53;92,32;5,4;R$ 498,53
GXH8043;10/12/2025 17:07;157,16;5,4;R$ 848,66
GXH8043;16/12/2025 01:22;112,992;5,5;R$ 621,45
GXH8043;18/12/2025 01:40;103,475;5,5;R$ 569,11
GXH8043;19/12/2025 01:42;128;5,4;R$ 691,20
GXH8043;26/12/2025 07:45;130,071;5,4;R$ 702,38
MIY6C60;03/11/2025 16:13;211,19;5,5;R$ 1.161,54
MIY6C60;03/11/2025 16:13;159,32;5,5;R$ 876,26
MIY6C60;06/11/2025 01:24;282;5,55;R$ 1.565,10
MIY6C60;12/11/2025 11:05;383;5,55;R$ 2.125,65
MIY6C60;18/11/2025 01:45;280;5,55;R$ 1.554,00
MIY6C60;22/11/2025 01:30;290,008;5,55;R$ 1.609,55
